hotel,price,score,avg review,reviews count
"Holiday in LA - 1br with Free parking, Laundry, Pool",£134,"Scored 9.8
9.8",Exceptional,6
Best Western Fort Worth Inn and Suites,£71,"Scored 7.9
7.9",Good,219
Fairway Inn Florida City Homestead Everglades,£56,"Scored 7.9
7.9",Good,"7,963"
Chateau Saint Denis a Historic Hotel Downtown Natchitoches,£104,"Scored 8.3
8.3",Very good,"1,619"
Zion View Camping,£71,"Scored 8.7
8.7",Fabulous,"1,265"
Puu Koa Palms vacation rental,£264,"Scored 8.2
8.2",Very good,260
The Kauai Inn,£234,"Scored 8.1
8.1",Very good,"1,078"
Hotel 1550 - SFO Airport West,£110,"Scored 8.2
8.2",Very good,"3,944"
Alaska Frontier Inn,£113,"Scored 8.8
8.8",Fabulous,152
Alpine Lodge Hotel,£100,"Scored 8.8
8.8",Fabulous,63
"Quiet Mind Lodge, Spa & Retreat Sequoias",£114,"Scored 8.4
8.4",Very good,529
Mountain Aire Inn Sevierville - Pigeon Forge,£46,"Scored 8.3
8.3",Very good,"2,424"
The Inn at Virginia Tech - On Campus,£85,"Scored 9.1
9.1",Superb,727
The Lodge at Zion Country,£109,"Scored 8.6
8.6",Fabulous,"3,398"
Arrow Hotel,£67,"Scored 8.8
8.8",Fabulous,309
Rose's Motel,£74,"Scored 8.3
8.3",Very good,489
Lazy J Ranch Motel,£107,"Scored 8.7
8.7",Fabulous,"1,652"
Hotel La Fonda de Taos,£108,"Scored 8.1
8.1",Very good,826
Lakeway Resort & Spa,£195,"Scored 7.9
7.9",Good,300
Oceanview Inn at the Arch,£69,"Scored 8.3
8.3",Very good,"1,078"
Pivovar Hotel,£94,"Scored 9.3
9.3",Superb,"1,725"
Blue Gate Garden Inn,£135,"Scored 9.2
9.2",Superb,"2,489"
Loyalty Inn Hawkinsville,£70,"Scored 8.6
8.6",Fabulous,165
Brown County Inn,£100,"Scored 8.8
8.8",Fabulous,"1,553"
Snowy Mountain Inn,£128,"Scored 9.1
9.1",Superb,135
Cabins at Grand Canyon West,£185,"Scored 8.4
8.4",Very good,"1,435"
